# slot_index,mcs,tbs_bytes,needs_retx,retx_count,harq_id
882,2,145,0,0,2
883,2,145,0,0,8
884,2,145,0,0,2
885,2,145,0,0,8
886,11,23,0,0,3
887,4,233,0,0,8
888,11,23,0,0,3
889,0,92,0,0,8
890,0,92,0,0,2
891,2,145,0,0,8
892,2,145,0,0,2
893,2,145,0,0,8
894,2,145,0,0,2
895,2,145,0,0,8
896,2,145,0,0,2
897,7,405,0,0,8
898,6,333,0,0,7
899,4,233,0,0,2
900,4,233,0,0,7
901,2,145,0,0,2
902,2,145,0,0,7
903,2,145,0,0,2
904,2,145,0,0,7
905,0,92,0,0,2
906,0,92,0,0,7
907,0,92,0,0,2
908,0,92,0,0,7
909,0,92,0,0,2
910,0,92,0,0,7
911,0,92,0,0,2
912,0,92,0,0,7
913,2,145,0,0,2
914,2,145,0,0,7
915,2,145,0,0,2
916,2,145,0,0,7
917,2,145,0,0,2
918,2,145,0,0,7
919,2,145,0,0,2
920,2,145,0,0,7
921,4,233,0,0,2
922,4,233,0,0,7
923,2,145,0,0,2
924,2,145,0,0,7
925,0,92,0,0,2
926,1,123,0,0,7
927,7,405,0,0,2
928,6,333,0,0,7
929,0,92,0,0,3
930,0,92,0,0,7
931,2,145,0,0,3
932,2,145,0,0,7
933,4,233,0,0,3
934,4,233,0,0,7
935,4,233,0,0,3
936,4,233,0,0,7
937,2,145,0,0,3
938,2,145,0,0,7
939,2,145,0,0,3
940,2,145,0,0,7
941,4,233,0,0,3
942,4,233,0,0,7
943,4,233,0,0,3
944,4,233,0,0,7
945,2,145,0,0,8
946,2,145,0,0,3
947,2,145,0,0,7
948,2,145,0,0,8
949,4,233,0,0,7
950,4,233,0,0,7
951,2,145,0,0,8
952,2,145,0,0,7
953,0,92,0,0,8
954,0,92,0,0,3
955,2,145,0,0,7
956,2,145,0,0,3
957,4,233,0,0,7
958,4,233,0,0,3
959,6,333,0,0,7
960,6,333,0,0,3
961,6,333,0,0,7
962,6,333,0,0,3
963,6,333,0,0,7
964,6,333,0,0,3
965,6,333,0,0,7
966,6,333,0,0,3
967,6,333,0,0,7
968,6,333,0,0,3
969,6,333,0,0,7
970,6,333,0,0,8
971,2,145,0,0,3
972,2,145,0,0,2
973,2,145,0,0,7
974,2,145,0,0,3
975,2,145,0,0,2
976,2,145,0,0,7
977,0,92,0,0,3
978,0,92,0,0,3
979,2,145,0,0,7
980,2,145,1,1,7
981,2,145,1,2,7
982,13,123,0,0,3
983,2,145,0,0,2
984,13,30,0,0,3
985,2,145,0,0,2
986,2,145,0,0,3
987,6,333,0,0,2
988,6,333,0,0,3
989,6,333,0,0,2
990,6,333,0,0,3
991,6,333,0,0,2
992,6,333,0,0,3
993,6,333,0,0,2
994,6,333,0,0,3
995,4,233,0,0,2
996,4,233,0,0,3
997,8,453,0,0,2
998,8,453,0,0,3
999,4,233,0,0,2
1000,4,233,0,0,3
1001,4,233,0,0,2
1002,4,233,0,0,3
1003,2,145,0,0,2
1004,2,145,0,0,3
1005,2,145,0,0,2
1006,2,145,0,0,3
1007,4,233,0,0,2
1008,4,233,0,0,3
1009,4,233,0,0,2
1010,4,233,0,0,3
1011,2,145,0,0,2
1012,2,145,0,0,3
1013,4,233,0,0,2
1014,4,233,0,0,3
1015,2,145,0,0,2
1016,2,145,0,0,3
1017,6,333,0,0,2
1018,6,333,0,0,3
1019,4,233,0,0,2
1020,4,233,0,0,6
1021,4,233,0,0,2
1022,4,233,0,0,6
1023,4,233,0,0,2
